smiles,solvent,absorption_nm,emission_nm,plqy,epsilon,scaffold
COc1ccc(-c2sc3c(=C4C=CC(=[O+]C)C=C4)c4n(c3c2-c2ccc(OC)cc2)[B-](F)(F)N2C=c3c(=C5C=CC(=[O+]C)C=C5)c5sc(-c6ccc(OC)cc6)c(-c6ccc(OC)cc6)c5n3[B-](F)(F)N2C=4)cc1,CCCCCC,595.0,630.0,0.4600000083446502,70795.0,BODIPY
CCc1c(C)[nH]c(C2=[N+]3C(=Cc4c(C)c(CC)c(/C=C/c5ccc(N(C)C)cc5)n4[B-]3(F)F)c3ccccc32)c1C,C1CCOC1,720.0,764.0,0.1099999994039535,70795.0,BODIPY
CCN1C(=CC2=C([O-])C(=CC3=[N+](C)c4ccccc4C3(C)C)C2=O)Sc2ccccc21,ClC(Cl)Cl,649.0,666.0,,,SquaricAcid
CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,ClCCl,532.0,611.0,0.1899999976158142,,BODIPY
Cc1cc2n(c1-c1ccc(C#CCCCCC(=O)ON3C(=O)CCC3=O)s1)[B-](F)(F)n1c(cc(C)c1=C1C=CC=[S+]1)=C2,CS(C)=O,617.0,671.0,0.7200000286102295,,BODIPY
CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc5c6c(ccc(c7c(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O,ClC(Cl)Cl,561.0,651.0,,44940.0,Naphthalimide
CC(C)(C)OC(=O)N1CCN(c2ccc3c(c2)C(C)(C)c2cc(C=O)ccc2-3)CC1,O,377.0,606.0,0.0299999993294477,,6n6
CC[B-]1(CC)n2c(C)c(/C=C/c3c(C)c4n(c3C)[B-](CC)(CC)[N+]3=C(C)C=C(C)C3=C4c3ccccc3)c(C)c2C(c2ccccc2)=C2C(C)=CC(C)=[N+]21,ClCCl,554.0,648.0,0.0599999986588954,,BODIPY
CN(C)/C=N\c1ccc2c3c(cccc13)C(=O)c1ccccc1-2,CO,470.0,638.0,0.270000010728836,12882.0,PAHs
CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c(c2)c2ccccc2n3CC)s1,ClCCl,570.0,742.0,0.0189999993890523,30500.0,Carbazole
O=C1C=CC=C[N+]1=C1C=CC2=C(c3ccco3)c3ccc(-n4ccccc4=O)n3[B-](F)(F)N21,Cc1ccccc1,550.0,625.0,0.0270000007003545,,Cyanine
C[O+]=C1C=CC(=C2c3cc(Br)c(/C=C/c4ccc(C(F)(F)F)cc4)n3[B-](F)(F)N3C2C=C(Br)C3/C=C/c2ccc(C(F)(F)F)cc2)C=C1,C1CCCCC1,645.0,656.0,0.8100000023841858,,BODIPY
CCC1(CC)c2cc(C=C(C#N)C#N)ccc2-c2ccc(N(C)C)cc21,CS(C)=O,490.0,711.0,0.2399999946355819,17600.0,6n6
CC1(C)OC(=C(C#N)C#N)C(C#N)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,ClCCl,509.0,721.0,0.0,,Carbazole
CCN(CC)/C(C)=N\c1ccc2c3c(cccc13)C(=O)c1ccccc1-2,CCO,473.0,670.0,0.1400000005960464,13804.0,PAHs
CCCCCc1cn(CC[N+](CCn2cc(CCCCC)nn2)=C2C=CC(=C3c4cccn4[B-](F)(F)n4cccc43)C=C2)nn1,C1CCOC1,496.0,623.0,0.0280000008642673,,BODIPY
CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CS(C)=O,,601.0,,,6n6
Cc1cc(C)c(C2=C3C=c4c([nH]c5ccc(C(C)(C)C)cc45)=[N+]3[B-](F)(F)n3c2cc2c4cc(C(C)(C)C)ccc4[nH]c23)c(C)c1,C1CCCCC1,613.0,628.0,0.8999999761581421,,BODIPY
C[N+](C)=C1C=CC(=CC=C2C=CN(CCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)C=C2)C=C1,CC(C)=O,484.0,608.0,,,Cyanine
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4cc5c(cc4c3[o+]c2c1)CCCN5C,ClC(Cl)Cl,610.0,647.0,0.270000010728836,76600.0,Coumarin
CCC1=[S+]C(=c2c(C)cc3n2[B-](C#CCN(C)C)(C#CCN(C)C)n2c(cc(C)c2-c2ccc(CC)s2)C=3)C=C1,Cc1ccccc1,601.0,653.0,0.4399999976158142,,BODIPY
CN(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3oc2=O)cc1,CC(O)CO,502.0,650.0,0.0240000002086162,,Coumarin
F[B-]1(F)n2cccc2C(c2c(Cl)cccc2Cl)=C2C=CC(c3ccc[nH]3)=[N+]21,CO,580.0,608.0,0.3300000131130218,,BODIPY
CC1=CC(C)=[N+]2C1C(c1ccccc1)c1c(C)cc(/C=C/c3ccc(O)c(O)c3)n1[B-]2(F)F,CCO,574.0,601.0,0.25,,BODIPY
CCCCCCCCN1C(=O)/C(=c2\s/c(=C\c3ccc(N(c4ccccc4)c4ccc(/C=c5/s/c(=C6/SC(=S)N(CCCCCCCC)C6=O)n(CC(=O)O)c5=O)cc4)cc3)c(=O)n2CC(=O)O)SC1=S,ClC(Cl)Cl,535.0,612.0,,,Triphenylamine
CN(C)c1ccc(/C=C/C=C2\CC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc1,ClCCl,484.0,635.0,0.3600000143051147,,5n6
COc1ccc2cc(-c3ccc([N+](=O)[O-])cc3)ccc2c1,CC#N,341.0,647.0,0.008,,PAHs
CCc1c(C)c2n(c1C)[B-]1(c3ccc(OC)cc3)Oc3ccccc3C3=[N+]1C(=C2)c1ccccc13,ClCCl,627.0,639.0,0.699999988079071,64600.0,BODIPY
O=C(O)CCCCCN=C(O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(C4=S=CC=C4)C=CC2=C3)cc1,CO,625.0,641.0,,,BODIPY
CCc1c(C)[nH]c(C2=[N+]3C(=C(C)c4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CO,613.0,650.0,0.209999993443489,102329.0,BODIPY
CCN(CC)c1ccc2c(c1)O/C(=C/C=C1/C(=O)N(CCCCCC(=O)[O-])C(=O)N(CCCS(=O)(=O)[O-])C1=O)C=C2c1cc(S(=O)(=O)O)c(OC)cc1C,CCO,626.0,646.0,,,Coumarin
N#Cc1nc2c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3c2nc1C#N,ClC(Cl)Cl,,721.0,,,Triphenylamine
O=C(O)c1ccccc1-c1c2cc3c4c(c2[o+]c2c1c(=O)oc1cc(N(c5ccccc5)c5ccccc5)ccc12)CCCN4CCC3,ClC(Cl)Cl,614.0,668.0,,50900.0,Coumarin
Cc1ccc(C2=c3ccc(=CC(Br)=[Br+])n3[B-](F)(F)n3c(C=C(Br)Br)ccc32)cc1,ClCCl,594.0,603.0,,,BODIPY
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,ClCCl,534.0,602.0,0.91,,PAHs
COc1ccc(-c2oc3cccc4c5c(-c6ccc(OC)cc6)/c(=N/S(=O)(=O)C(F)(F)F)oc6cccc(c2c34)c65)cc1,ClC(Cl)Cl,480.0,612.0,0.959999978542328,,Coumarin
CCc1c(C)c2n(c1C=Cc1ccc(OC)cc1)[B-]1(c3ccncc3)Oc3ccccc3C3=[N+]1C(=C2)c1ccccc13,ClCCl,699.0,717.0,0.3499999940395355,55400.0,BODIPY
CCCCCCCN1C(=CC2=C(C(=C=[N-])C#N)C(=CC3=[N+](CCCCCCC)c4ccccc4C3(C)C)C2=O)C(C)(C)c2ccccc21,C1COCCO1,689.0,702.0,0.1899999976158142,190000.0,SquaricAcid
Cc1c(-c2cccs2)c(C)n2c1C(=C1C=CC(=[O+]S(=O)(=O)c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])C=C1)c1c(C)c(-c3cccs3)c(C)n1[B-]2(F)F,CO,526.0,609.0,,41020.4,BODIPY
COc1ccc(-c2c(-c3ccc([N+](=O)[O-])cc3)c(-c3ccccc3)n3c2N=c2c(=C4C=CC(=[O+]C)C=C4)c(-c4ccc([N+](=O)[O-])cc4)c(-c4ccccc4)n2[B-]3(F)F)cc1,Cc1ccccc1,654.0,688.0,0.05,75857.8,BODIPY
O=C(O)COc1cccc(-c2c3nc(cc4ccc([nH]4)c(-c4cccc(OCC(=O)O)c4)c4nc(cc5ccc2[nH]5)C=C4)C=C3)c1,CS(C)=O,630.0,633.0,,,Porphyrin
COc1ccc(-c2sc3c(c2Br)=[N+]2C(=C(C(F)(F)F)c4cc5sc(-c6ccc(OC)cc6)c(Br)c5n4[B-]2(F)F)C=3)cc1,ClC(Cl)Cl,720.0,754.0,0.45,89022.5,BODIPY
CN(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3oc2=O)cc1,CCO,494.0,666.0,0.0160000007599592,,Coumarin
C[O+]=C1C=CC(=C2c3ccc(-c4ccccc4)n3[B-](F)(F)n3c2cc(-c2ccccc2)c3-c2ccccc2)C=C1,ClC(Cl)Cl,568.0,603.0,0.3400000035762787,,BODIPY
CN(C)c1ccc(/C=C/C=C2\CC/C(=C\C=C\c3ccc(N(C)C)cc3)C2=O)cc1,ClCCl,503.0,672.0,0.4799999892711639,,5n6
CCCCOc1ccc(-c2oc3c(c2-c2ccc(OCCCC)cc2)=[N+]2C(=CN4N(C=c5cc6oc(=C7C=CC(=[O+]CCCC)C=C7)c(-c7ccc(OCCCC)cc7)c6n5[B-]4(F)F)[B-]2(F)F)C=3)cc1,CS(C)=O,594.0,647.0,0.3100000023841858,101000.0,BODIPY
CC(C)(C)c1ccc(C2=c3sc4ccccc4c3=[N+]3C2=Nc2c(-c4ccc(C(C)(C)C)cc4)c4sc5ccccc5c4n2[B-]3(F)F)cc1,C1CCOC1,709.0,800.0,,67100.0,BODIPY
COC(=O)c1ccccc1-c1c2cc3c4c(c2oc2c1ccc1cccc(=[NH2+])c12)CCCN4CCC3,O,601.0,740.0,0.0099999997764825,12808.0,PAHs
CCN1C(=O)/C(=c2\c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(CO)cc3)sc(=O)n2CCCC(=O)O)SC1=S,CS(C)=O,542.0,669.0,,,5p6
C[N+]1=C(C=CC2=C3Oc4c(cc(F)c(N5CCCC5CO)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,702.0,738.0,0.0299999993294477,,Coumarin
F[B-]1(F)n2c(cc3c2-c2ccccc2CC3)C(c2c(Cl)ncnc2Cl)=C2C=C3CCc4ccccc4C3=[N+]21,CC#N,645.0,657.0,0.3100000023841858,,BODIPY
CN(CCO)c1ccc(/C=C/C2=C(C#N)C(C(C#N)C#N)OC2(C)C)cc1,CO,575.0,644.0,,,5n6
COc1ccc2cc(-c3c(Br)c(-c4ccccc4)c4n3[B-](F)(F)n3c(=c5ccc6c(c5)C=CC(=[O+]C)C=6)cc(-c5ccccc5)c3=N4)ccc2c1,ClCCl,695.0,728.0,0.1199999973177909,82000.0,BODIPY
COc1ccc2c(OC)ccc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)c2c1,CS(C)=O,,673.0,0.0099999997764825,,BODIPY
Cc1ccc(-c2nc(N(c3ccccc3)c3ccccc3)sc2-c2ccc([N+](=O)[O-])s2)cc1,ClCCl,476.0,660.0,0.0099999997764825,,5n6
CN(C)c1ccc2c(c1)C(C)(C)C1=CC(=[N+](C)C)C=CC1=C2C#Cc1ccccc1,O,680.0,708.0,0.047,39810.7,Acridines
CCN1c2cc3c(cc2C(C)=CC1(C)C)C=c1cc2c(cc1C3(C)C)=[N+](CC)C(C)(C)C=C2C,CCO,664.0,688.0,0.4900000095367431,,6n6
CCCCCCOc1ccc2c(c1)Sc1cc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)cc4)c4nsnc34)ccc1N2CCCC,C1CCOC1,462.0,612.0,,,Acridines
CCOC(=O)COc1ccc(/C=C/C2=C3c4ccccc4C(c4ccc[nH]4)=[N+]3[B-](F)(F)n3ccc(C)c32)cc1,Cc1ccccc1,592.0,637.0,0.0040000001899898,43652.0,BODIPY
CC1(C)OC(=C(C#N)C#N)C(Sc2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC(C)=O,497.0,705.0,0.1599999964237213,,Triphenylamine
CCN1C(=CC2=C([O-])C(=CC3=[N+](CC)c4c(ccc5ccc(C)nc45)C3(C)C)C2=O)C(C)(C)c2ccc3ccc(C)nc3c21,ClC(Cl)Cl,678.0,702.0,0.6,154881.7,SquaricAcid
CN1C(=CC2=C(C(=C=[N-])C#N)C(=Cc3[o+]c4ccccc4n3C)C2=O)C(C)(C)c2ccccc21,ClC(Cl)Cl,655.0,673.0,,177000.0,SquaricAcid
CCN1C(=CC=CC=CC2=[N+](CC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,CC(C)=O,680.0,698.0,,,Cyanine
CCN(CC)c1ccc2c(/C=C/C=C/C=C3\N(CCCCCC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)cc(C(C)(C)C)[o+]c2c1,CCO,734.0,755.0,,,5p6
CC(C)[Si](C#Cc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3c(ccc4cc5ccccc5cc43)nc12)(C(C)C)C(C)C,CCCCCC,644.0,654.0,0.2599999904632568,28270.0,PAHs
Cc1cc(C)n2c1C=C1c3ccccc3C(C#Cc3ccc(F)cc3)=[N+]1[B-]2(F)F,CCOC(C)=O,607.0,617.0,0.8199999928474426,,BODIPY
C[N+](C)=C1C=CC(=CC=C2C=CN(CCCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)C=C2)C=C1,CC(C)=O,476.0,604.0,,,Cyanine
CCN(/C=C/c1ccc2n1[B-](F)(F)[N+]1=CC=CC1=C2c1ccc([N+](=O)[O-])cc1)CC,C1CCOC1,570.0,670.0,0.0010000000474974,,BODIPY
O=[N+]([O-])c1ccc(C2=C3C=CC(c4ccccc4)=[N+]3[B-](F)(F)n3c2ccc3-c2ccccc2)cc1,CCOC(C)=O,560.0,603.0,0.0320000015199184,,BODIPY
CCc1c(C)[nH]c(C(=O)C2=C3C=CC(C)=[N+]3[B-](F)(F)n3c(C)c(CC)c(C)c32)c1C,O,534.0,643.0,0.1120000034570694,,Cyanine
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,C1CCOC1,446.0,761.0,0.0130000002682209,,Porphyrin
O=[N+]([O-])c1ccc(-c2sc(N(c3ccccc3)c3ccccc3)nc2-c2cccs2)s1,ClCCl,473.0,657.0,0.0,,6n6
C1=Cc2nc1c(-c1cncs1)c1ccc([nH]1)c(-c1cncs1)c1nc(c(-c3cncs3)c3ccc([nH]3)c2-c2cncs2)C=C1,CN(C)C=O,662.0,664.0,0.0099999997764825,2400.0,Porphyrin
CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc(N(c4ccc(/C=C/c5ccc6c(c5)Sc5ccccc5N6CCCCCCCC)cc4)c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)cc6)c6nsnc56)cc4)cc3)ccc21,C1CCOC1,530.0,654.0,0.0240000002086162,46000.0,Triphenylamine
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1nc(-c2ccccc2)n2ccccc12)CCC3,ClCCl,703.0,746.0,0.4000000059604645,90000.0,5p6
COc1ccc2c3c([nH]c2c1)=[N+]1C(=C(c2c(C)cc(C)cc2C)c2cc4c5ccc(OC)cc5[nH]c4n2[B-]1(F)F)C=3,Cc1ccccc1,615.0,631.0,0.8600000143051147,,BODIPY
Cc1cc(C)c(C2=C3C=C(Br)C(Nc4ccccc4)=[N+]3[B-](F)(F)n3c2cc(Br)c3Nc2ccccc2)c(C)c1,C1CCCCC1,615.0,645.0,0.6600000262260437,,BODIPY
CCCCCCCCCCOc1ccc2c3c(oc2c1)C1=C2C(=O)N4C=Cc5c(oc6cc(OCCCCCCCCCC)ccc56)C4=C2C(=O)N1C=C3,ClC(Cl)Cl,648.0,653.0,0.699999988079071,89000.0,Cyanine
CCN1CCCc2cc3c(cc21)C(C)(C)c1cc2c(cc1=C3c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)[O-])CCC[N+]=2CC,CCO,662.0,692.0,0.6000000238418579,,6p6
CCN1C(=CC=CC=CC=Cc2[o+]c3ccccc3n2CC)Oc2ccccc21,CCO,687.2,712.0,0.49,220039.2,5p6
CN(C)c1ccc2nc(/C=C/c3cc4c5c(c3)CCCN5CCC4)c(=O)oc2c1,CC#N,508.0,709.0,0.0230000000447034,,Coumarin
CCCC[C@H](CC)CN1c2ccccc2Sc2cc(-c3ccc(/C=C(/C#N)C(=O)O)s3)ccc21,C1CCOC1,444.0,656.0,,,Acridines
C1=CSC(=C2SC=C(/C=C/C=C/C=C/C3=CSC(=C4SC=CS4)S3)S2)S1,C1COCCO1,479.0,703.0,0.0109999999403953,,
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(C=C(C#N)C#N)o3)cc2)cc1,ClC(Cl)Cl,521.0,654.0,0.1000000014901161,36893.0,Triphenylamine
N#CC(C#N)=Cc1ccc(/C=C/c2ccc(-c3cc4ccccc4s3)s2)cc1,C1CCOC1,441.0,615.0,0.1000000014901161,,5p6
Cc1cc(C)n2c1C=C1c3ccccc3C(c3c[nH]c4ccccc34)=[N+]1[B-]2(F)F,CC#N,575.0,602.0,0.959999978542328,70795.0,BODIPY
CCN(CC)c1ccc2cc(C=Cc3cccc[n+]3CCCS(=O)(=O)[O-])c(=O)oc2c1,O,481.0,627.0,0.0299999993294477,,Coumarin
CCN1C(=CC=C2CCCC(C=CC3=[N+](CC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,CCO,780.0,798.0,0.024,,Cyanine
Cc1ccccc1C1=C2C=CC(=[N+](C)C)C=[C]2[Ge]([CH3])([CH3])[c]2cc(N(C)C)ccc21,O,635.0,649.0,0.34,,Acridines
CCOC(=O)COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=C(c4[nH]c(C)cc4C)c4ccccc4C2=C3)cc1,CC#N,670.0,699.0,0.3000000119209289,42658.0,BODIPY
CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C(\C#N)C(=O)O)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(N(c3ccc(OC)cc3)c3cccc(OC)c3)sc2-4)cc1,C1CCOC1,520.0,660.0,,,5n6
C[N+](C)=C1C=Cc2cc(=C3C=C(c4ccccc4)O[B-](F)(F)O3)ccc2=C1,C1CCOC1,492.0,643.0,0.1000000014901161,72000.0,6p6
COCCN1C2=CC=C(S(=O)(=O)O)CC2C(C)(C)C1=CC=CC=CC1=[N+](CCCCCC(=O)[O-])c2ccc(S(=O)(=O)[O-])cc2C1(C)CCCS(=O)(=O)[O-],O,651.0,669.0,,,Cyanine
COc1ccc(-c2sc3c(=C4C=CC(=[O+]C)C=C4)c4n(c3c2-c2ccc(OC)cc2)[B-](F)(F)N2C=c3c(=C5C=CC(=[O+]C)C=C5)c5sc(-c6ccc(OC)cc6)c(-c6ccc(OC)cc6)c5n3[B-](F)(F)N2C=4)cc1,CC#N,587.0,641.0,0.3600000143051147,66069.0,BODIPY
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cc3ccc4ccccc4c3c3c2cc(N(C)C)c2ccccc23)c(C)c1,C1CCOC1,439.0,601.0,0.0900000035762786,2239.0,PAHs
COc1ccc(C2=C(c3ccc(OC)cc3)c3cc4ccc5cccc6cc7c(=C8C=CC(=[O+]C)C=C8)c(-c8ccc(OC)cc8)c(c3c7c4c56)O2)cc1,ClCCl,639.0,703.0,0.0199999995529651,,PAHs
CC[N+]1=C(C=CC=CC=CC=C2N(CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,CO,749.0,773.0,0.5199999809265137,253000.0,Cyanine
N#CC(C#N)=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccccc1,CO,484.0,631.0,0.0007999999797903,35701.0,Triphenylamine
COC1=C/C(=C\C=C2C=CN(Cc3ccc(Br)cc3)C=C2)C=CC1=O,CC(C)CO,576.0,642.0,,,Cyanine
F[B-]1(F)n2c(ccc2-c2cccc3ccccc23)C(c2c(Cl)cccc2Cl)=C2C=CC(c3cccc4ccccc34)=[N+]21,CCOC(C)=O,554.0,616.0,0.9300000071525574,,BODIPY
COCCOCCCOCn1c(=C[N-]N(C)C)ccc1=c1c(=O)c(=C2C=CC(C=NN(C)C)=[N+]2COCCCOCCOC)c1=O,ClCCl,688.0,721.0,,,SquaricAcid
CCN(CC)c1ccc2cc(/C=C/C3=CC(/C=C/c4cc5ccc(N(CC)CC)cc5oc4=O)=[O+][B-](F)(F)O3)c(=O)oc2c1,ClCCl,625.0,705.0,0.2709999978542328,149130.0,Coumarin
COC(=O)C1CCN(c2ccc3n2[B-](F)(F)n2c(ccc2N2CCC(C(=O)OC)CC2)C3=C2C=CC(=[Br+])C=C2)CC1,CO,573.0,614.0,0.01,39902.5,BODIPY
COc1cc2c3c4c(c5ccc(C(C)(C)C)cc5c5c(OC)cc(OC)c(c2c(OC)c1OC)c45)=[N+]1C3=Nc2c3c4cc(OC)c(OC)c(OC)c4c4c(OC)cc(OC)c5c6cc(C(C)(C)C)ccc6c(c3c54)n2[B-]1(F)F,Cc1ccccc1,878.0,907.0,0.13,260016.0,BODIPY
C[O+]=C1C=CC=CC1=C1c2ccc(N(C)C)cc2S(=O)(=O)c2cc(N(C)C)ccc21,O,707.0,747.0,0.05,69024.0,Acridines
Cc1cc(C)c(C2=C3C=C(c4ccccc4)C(c4ccccc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccccc2)c3-c2ccccc2)c(C)c1,CC#N,578.0,623.0,0.87,54954.1,BODIPY
